Dataset,Modelo,Volume (imgs),Treino (amostras),Validacao (amostras),Parametros,Tempo treino total (s),Tempo treino/epoch (s),Tempo extrap. 50ep (s),Inferencia (ms/img),Acuracia (%),AUC-ROC
pneumonia,CNN-VQC (8 qubits),1000,800,201,11180648,257.5,25.75,1287.5,5.8066,73.63,0.4214
pneumonia,ResNet-18,1000,800,201,11177025,18.1,1.81,90.5,1.2403,93.03,0.9714
pneumonia,CNN-VQC (8 qubits),5000,4000,1000,11180648,1275.5,127.55,6377.5,5.4725,72.4,0.7235
pneumonia,ResNet-18,5000,4000,1000,11177025,65.1,6.51,325.5,1.8598,96.2,0.9894
pneumonia,CNN-VQC (8 qubits),10000,8000,2000,11180648,2633.0,263.3,13165.0,5.4736,75.5,0.7856
pneumonia,ResNet-18,10000,8000,2000,11177025,129.9,12.99,649.5,1.5057,99.05,0.9996
pneumonia,CNN-VQC (8 qubits),50000,40000,10000,11180648,13209.9,1320.99,66049.5,4.5579,75.35,0.8052
pneumonia,ResNet-18,50000,40000,10000,11177025,617.7,61.77,3088.5,1.3499,100.0,1.0
breast,CNN-VQC (8 qubits),200,160,40,11180648,55.3,5.53,276.5,5.667,72.5,0.4201
breast,ResNet-18,200,160,40,11177025,2.7,0.27,13.5,1.369,75.0,0.7241
breast,CNN-VQC (8 qubits),500,400,100,11180648,137.4,13.74,687.0,6.4312,71.0,0.6002
breast,ResNet-18,500,400,100,11177025,8.0,0.8,40.0,1.478,78.0,0.8447
breast,CNN-VQC (8 qubits),780,624,156,11180648,210.4,21.04,1052.0,6.193,53.85,0.4589
breast,ResNet-18,780,624,156,11177025,13.2,1.32,66.0,1.1985,92.95,0.9825
